lsoa_code,borough,major_category,minor_category,value,year,month
E01001293,Ealing,Other Notifiable Offences,Other Notifiable,0,2016,6
E01002866,Kensington and Chelsea,Violence Against the Person,Harassment,1,2012,4
E01000685,Bromley,Drugs,Possession Of Drugs,1,2015,6
E01000662,Bromley,Theft and Handling,Theft From Motor Vehicle,0,2012,9
E01003055,Lambeth,Fraud or Forgery,Counted per Victim,0,2010,2
E01002809,Islington,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,10
E01002743,Islington,Criminal Damage,Other Criminal Damage,1,2013,6
E01002930,Kingston upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2008,9
E01004120,Sutton,Violence Against the Person,Other violence,0,2012,3
E01001678,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2011,3
E01001523,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2015,4
E01003948,Southwark,Violence Against the Person,Common Assault,1,2013,7
E01004479,Wandsworth,Robbery,Personal Property,0,2010,12
E01000140,Barnet,Drugs,Drug Trafficking,0,2015,10
E01003563,Newham,Criminal Damage,Other Criminal Damage,0,2013,2
E01000007,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,1,2009,2
E01003618,Newham,Criminal Damage,Criminal Damage To Other Building,0,2010,10
E01002764,Islington,Drugs,Drug Trafficking,0,2014,9
E01002247,Havering,Robbery,Personal Property,0,2012,12
E01004558,Wandsworth,Theft and Handling,Theft From Shops,0,2008,2
E01004558,Wandsworth,Other Notifiable Offences,Going Equipped,0,2011,6
E01004420,Waltham Forest,Violence Against the Person,Offensive Weapon,0,2010,3
E01003600,Newham,Robbery,Personal Property,7,2010,8
E01003433,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,1,2010,12
E01003474,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,11
E01002561,Hounslow,Theft and Handling,Handling Stolen Goods,0,2013,4
E01000270,Barnet,Violence Against the Person,Wounding/GBH,0,2008,6
E01002734,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2009,7
E01004323,Tower Hamlets,Violence Against the Person,Assault with Injury,2,2012,7
E01001684,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,1
E01000608,Brent,Theft and Handling,Theft From Shops,0,2013,8
E01004241,Tower Hamlets,Violence Against the Person,Common Assault,1,2009,10
E01003405,Merton,Criminal Damage,Criminal Damage To Dwelling,3,2013,6
E01004407,Waltham Forest,Drugs,Other Drugs,0,2012,3
E01001793,Hackney,Burglary,Burglary in Other Buildings,1,2008,4
E01001697,Greenwich,Violence Against the Person,Murder,0,2012,1
E01001865,Hammersmith and Fulham,Robbery,Business Property,0,2013,9
E01000277,Barnet,Drugs,Possession Of Drugs,1,2016,5
E01002259,Havering,Drugs,Possession Of Drugs,0,2016,2
E01001276,Ealing,Drugs,Drug Trafficking,0,2009,4
E01001085,Croydon,Violence Against the Person,Common Assault,0,2008,3
E01002658,Hounslow,Robbery,Personal Property,0,2009,9
E01001148,Croydon,Theft and Handling,Handling Stolen Goods,0,2008,5
E01000036,Barking and Dagenham,Criminal Damage,Other Criminal Damage,1,2010,6
E01000755,Bromley,Drugs,Possession Of Drugs,0,2011,12
E01000777,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2008,11
E01003513,Newham,Theft and Handling,Theft From Shops,0,2013,9
E01002111,Harrow,Theft and Handling,Other Theft,0,2015,4
E01001804,Hackney,Violence Against the Person,Other violence,0,2013,4
E01000908,Camden,Violence Against the Person,Common Assault,1,2016,1
